uniqueid,reltype,passportnumber,testrelationshipproperty
C2OH48HL21V,HAS_PASSPORT,621-10-5759,asdf
P3UE85AY76F,HAS_PASSPORT,781-13-4413,wert
I9IO39KL87H,HAS_PASSPORT,087-34-8406,sdfg
L5TM04HW68I,HAS_PASSPORT,800-44-7705,rtyu
Z1XA68FG61P,HAS_PASSPORT,876-92-6037,fghj
E1YK05EL08W,HAS_PASSPORT,146-78-4907,rtyu
P9GZ17DB26B,HAS_PASSPORT,900-32-8273,tyui
O3HN99PS40B,HAS_PASSPORT,853-36-6120,fghj
Z8QA51TF42X,HAS_PASSPORT,967-65-6465,cvbn
P3UL40GB37L,HAS_PASSPORT,631-35-6449,tyui
B1EX26DP11L,HAS_PASSPORT,988-66-7925,ghjk
N0HZ77LC16D,HAS_PASSPORT,864-22-3356,yuio
S8XV98AK34E,HAS_PASSPORT,105-56-0507,uiop
L1UK78SB59A,HAS_PASSPORT,299-86-6382,hjkl
K1HM82TN21K,HAS_PASSPORT,730-50-5817,tyui
K5GM88QY29L,HAS_PASSPORT,269-59-1354,rtyu
U8SW50WS70M,HAS_PASSPORT,237-81-2463,erty
M5EW11HD51U,HAS_PASSPORT,593-94-4779,wert
N5EM25CE04L,HAS_PASSPORT,017-91-3977,qwer
S4SX29DS00O,HAS_PASSPORT,425-19-4730,sdfg
I5QC16TN39X,HAS_PASSPORT,751-86-2261,dfgh
A7FD16LB40L,HAS_PASSPORT,668-46-7857,fghj
A7ZM51OO00V,HAS_PASSPORT,877-43-5685,ghjk
L1OY40TV72B,HAS_PASSPORT,579-04-3675,hjkl
E0QI68EA01X,HAS_PASSPORT,257-12-1899,vbmn
Q5PL77PE75K,HAS_PASSPORT,861-93-0555,zxcv
U2YI30HO41S,HAS_PASSPORT,381-22-7097,xcvb
U4NB12NK52D,HAS_PASSPORT,997-36-9054,zxcv
V3FB05SW57C,HAS_PASSPORT,657-57-3926,sdfg
Y9LX88VR14R,HAS_PASSPORT,233-32-5355,wert
D2QM97YP57V,HAS_PASSPORT,561-91-9872,erty
Z3BH01NC46I,HAS_PASSPORT,194-00-2189,dfgh
B3AO03QH06W,HAS_PASSPORT,322-21-5565,dfgh
W0FX10ZY07W,HAS_PASSPORT,866-16-8193,rtyu
